YEAR,REGION,TOPONIMIA,SEXO,CASOS
2017,Región VIII,Monseñor Nouel,masculino,12
2017,Región VII,Monte Cristi,masculino,4
2017,Región 0,Monte Plata,masculino,18
2017,Región I,Peravia,masculino,13
2017,Región II,Puerto Plata,masculino,12
2017,Región III,Samaná,masculino,6
2017,Región I,San Cristóbal,masculino,40
2017,Región VI,San Juan,masculino,36
2017,Región I,San José de Ocoa,masculino,10
2017,Región V,San Pedro de Macorís,masculino,22
2017,Región II,Santiago,masculino,16
2017,Región VII,Santiago Rodríguez,masculino,5
2017,Región VIII,Sánchez Ramírez,masculino,13
2017,Región VII,Valverde,masculino,3
2017,Región 0,Santo Domingo,masculino,77
2017,Región 0,Distrito Nacional,femenino,72
2017,Región VI,Azua,femenino,21
2017,Región IV,Bahoruco,femenino,13
2017,Región IV,Barahona,femenino,30
2017,Región VII,Dajabón,femenino,5
2017,Región III,Duarte,femenino,41
2017,Región V,El Seibo,femenino,8
2017,Región VI,Elías Piña,femenino,9
2017,Región II,Espaillat,femenino,23
2017,Región V,Hato Mayor,femenino,14
2017,Región III,Hermanas Mirabal,femenino,8
2017,Región IV,Independencia,femenino,10
2017,Región V,La Altagracia,femenino,9
2017,Región V,La Romana,femenino,13
2017,Región VIII,La Vega,femenino,30
2017,Región III,María Trinidad Sánchez,femenino,10
2017,Región VIII,Monseñor Nouel,femenino,13
2017,Región VII,Monte Cristi,femenino,10
2017,Región 0,Monte Plata,femenino,29
2017,Región I,Peravia,femenino,26
2017,Región II,Puerto Plata,femenino,20
2017,Región III,Samaná,femenino,11
2017,Región I,San Cristóbal,femenino,56
2017,Región VI,San Juan,femenino,58
2017,Región I,San José de Ocoa,femenino,13
2017,Región V,San Pedro de Macorís,femenino,31
2017,Región II,Santiago,femenino,17
2017,Región VII,Santiago Rodríguez,femenino,6
2017,Región VIII,Sánchez Ramírez,femenino,20
2017,Región VII,Valverde,femenino,1
2017,Región 0,Santo Domingo,femenino,134
2018,Región 0,Distrito Nacional,masculino,47
2018,Región VI,Azua,masculino,8
2018,Región IV,Barahona,masculino,7
2018,Región VII,Dajabón,masculino,1
2018,Región III,Duarte,masculino,5
2018,Región VI,Elías Piña,masculino,2
2018,Región V,El Seibo,masculino,3
2018,Región II,Espaillat,masculino,3
2018,Región IV,Independencia,masculino,1
2018,Región V,La Altagracia,masculino,4
2018,Región V,La Romana,masculino,5
2018,Región VIII,La Vega,masculino,7
2018,Región III,María Trinidad Sánchez,masculino,5
2018,Región VII,Monte Cristi,masculino,0
2018,Región IV,Pedernales,masculino,2
2018,Región I,Peravia,masculino,11
2018,Región II,Puerto Plata,masculino,4
2018,Región III,Hermanas Mirabal,masculino,1
2018,Región III,Samaná,masculino,5
2018,Región I,San Cristóbal,masculino,24
2018,Región VI,San Juan,masculino,6
2018,Región V,San Pedro de Macorís,masculino,7
2018,Región VIII,Sánchez Ramírez,masculino,8
2018,Región II,Santiago,masculino,6
2018,Región VII,Santiago Rodríguez,masculino,3
2018,Región VII,Valverde,masculino,3
2018,Región VIII,Monseñor Nouel,masculino,8
2018,Región 0,Monte Plata,masculino,15
2018,Región V,Hato Mayor,masculino,2
2018,Región I,San José de Ocoa,masculino,2
2018,Región 0,Santo Domingo,masculino,359
2018,Región 0,Distrito Nacional,femenino,87
2018,Región VI,Azua,femenino,17
2018,Región IV,Barahona,femenino,12
2018,Región VII,Dajabón,femenino,1
2018,Región III,Duarte,femenino,9
2018,Región VI,Elías Piña,femenino,2
2018,Región V,El Seibo,femenino,3
2018,Región II,Espaillat,femenino,3
2018,Región IV,Independencia,femenino,5
2018,Región V,La Altagracia,femenino,13
2018,Región V,La Romana,femenino,11
2018,Región VIII,La Vega,femenino,12
2018,Región III,María Trinidad Sánchez,femenino,4
2018,Región VII,Monte Cristi,femenino,2
2018,Región IV,Pedernales,femenino,1
2018,Región I,Peravia,femenino,13
2018,Región II,Puerto Plata,femenino,0
2018,Región III,Hermanas Mirabal,femenino,0
2018,Región III,Samaná,femenino,8
2018,Región I,San Cristóbal,femenino,33
2018,Región VI,San Juan,femenino,21
2018,Región V,San Pedro de Macorís,femenino,29
2018,Región VIII,Sánchez Ramírez,femenino,11
2018,Región II,Santiago,femenino,3
2018,Región VII,Santiago Rodríguez,femenino,1
2018,Región VII,Valverde,femenino,0
2018,Región VIII,Monseñor Nouel,femenino,6
2018,Región 0,Monte Plata,femenino,8
2018,Región V,Hato Mayor,femenino,1
2018,Región I,San José de Ocoa,femenino,3
2018,Región 0,Santo Domingo,femenino,554
